Uberon ID	Uberon name	9606
CHEBI:64708	one-carbon compound	F
CHEBI:64709	organic acid	F
CHEBI:6495	lipoprotein	T
CHEBI:65212	polysaccharide derivative	F
CHEBI:72695	organic molecule	F
CHEBI:78616	carbohydrates and carbohydrate derivatives	F
CHEBI:8337	porphyrin	T
CL:0000000	cell	T
CL:0000001	primary cultured cell	F
CL:0000003	native cell	F
CL:0000005	fibroblast neural crest derived	F
CL:0000006	neuronal receptor cell	F
CL:0000007	early embryonic cell	F
CL:0000008	migratory cranial neural crest cell	T
CL:0000010	cultured cell	F
CL:0000011	migratory trunk neural crest cell	T
CL:0000014	germ line stem cell	F
CL:0000015	male germ cell	F
CL:0000016	male germ line stem cell	F
CL:0000017	spermatocyte	F
CL:0000018	spermatid	F
CL:0000019	sperm	T
CL:0000020	spermatogonium	T
CL:0000021	female germ cell	F
CL:0000022	female germ line stem cell	F
CL:0000023	oocyte	T
CL:0000024	oogonial cell	F
CL:0000025	egg cell	T
CL:0000026	invertebrate nurse cell	F
CL:0000027	smooth muscle cell neural crest derived	F
CL:0000028	CNS neuron (sensu Nematoda and Protostomia)	F
CL:0000029	neuron neural crest derived	F
CL:0000030	glioblast	F
CL:0000031	neuroblast	T
CL:0000032	neuroplacodal cell	F
CL:0000033	apocrine cell	F
CL:0000034	stem cell	F
CL:0000035	single fate stem cell	F
CL:0000036	epithelial fate stem cell	F
CL:0000037	hematopoietic stem cell	F
CL:0000038	erythroid progenitor cell	F
CL:0000039	germ line cell	F
CL:0000040	monoblast	F
CL:0000041	mature eosinophil	F
CL:0000042	neutrophilic myeloblast	F
CL:0000043	mature basophil	F
CL:0000047	neuronal stem cell	F
CL:0000048	multi fate stem cell	F
CL:0000049	common myeloid progenitor	F
CL:0000050	megakaryocyte-erythroid progenitor cell	F
CL:0000051	common lymphoid progenitor	F
CL:0000052	totipotent stem cell	F
CL:0000054	bone matrix secreting cell	F
CL:0000055	non-terminally differentiated cell	F
CL:0000056	myoblast	F
CL:0000057	fibroblast	T
CL:0000058	chondroblast	F
CL:0000059	ameloblast	T
CL:0000060	odontoblast	T
CL:0000061	cementoblast	F
CL:0000062	osteoblast	T
CL:0000064	ciliated cell	F
CL:0000065	ependymal cell	T
CL:0000066	epithelial cell	T
CL:0000067	ciliated epithelial cell	T
CL:0000068	duct epithelial cell	F
CL:0000069	branched duct epithelial cell	F
CL:0000071	blood vessel endothelial cell	T
CL:0000072	non-branched duct epithelial cell	F
CL:0000073	barrier epithelial cell	F
CL:0000075	columnar/cuboidal epithelial cell	T
CL:0000076	squamous epithelial cell	T
CL:0000077	mesothelial cell	T
CL:0000078	peridermal cell	F
CL:0000079	stratified epithelial cell	F
CL:0000080	circulating cell	F
CL:0000081	blood cell	F
CL:0000082	epithelial cell of lung	F
CL:0000083	epithelial cell of pancreas	F
CL:0000084	T cell	T
CL:0000085	germ line stem cell (sensu Vertebrata)	F
CL:0000086	germ line stem cell (sensu Nematoda and Protostomia)	F
CL:0000087	male germ line stem cell (sensu Nematoda and Protostomia)	F
CL:0000088	female germ line stem cell (sensu Nematoda and Protostomia)	F
CL:0000089	male germ line stem cell (sensu Vertebrata)	F
CL:0000090	female germ line stem cell (sensu Vertebrata)	F
CL:0000091	Kupffer cell	F
CL:0000092	osteoclast	F
CL:0000094	granulocyte	F
CL:0000095	neuron associated cell	F
CL:0000096	mature neutrophil	F
CL:0000097	mast cell	F
CL:0000098	sensory epithelial cell	T
CL:0000099	interneuron	T
CL:0000100	motor neuron	T
CL:0000101	sensory neuron	T
CL:0000102	polymodal neuron	F
CL:0000103	bipolar neuron	F
CL:0000104	multipolar neuron	F
CL:0000105	pseudounipolar neuron	F
CL:0000106	unipolar neuron	F
CL:0000107	autonomic neuron	F
CL:0000108	cholinergic neuron	T
CL:0000109	adrenergic neuron	F
CL:0000110	peptidergic neuron	F
CL:0000111	peripheral neuron	F
CL:0000112	columnar neuron	F
CL:0000113	mononuclear phagocyte	F
CL:0000114	surface ectodermal cell	F
CL:0000115	endothelial cell	T
CL:0000116	pioneer neuron	F
CL:0000117	CNS neuron (sensu Vertebrata)	F
CL:0000118	basket cell	T
CL:0000119	cerebellar Golgi cell	T
CL:0000120	granule cell	T
CL:0000121	Purkinje cell	T
CL:0000122	stellate cell	T
CL:0000123	neuron associated cell (sensu Vertebrata)	F
CL:0000124	glial cell (sensu Nematoda and Protostomia)	T
CL:0000125	glial cell	T
CL:0000126	macroglial cell	F
CL:0000127	astrocyte	T
CL:0000128	oligodendrocyte	F
CL:0000129	microglial cell	F
CL:0000130	neuron associated cell (sensu Nematoda and Protostomia)	F
CL:0000131	gut endothelial cell	F
CL:0000132	corneal endothelial cell	F
CL:0000133	neurectodermal cell	T
CL:0000134	mesenchymal stem cell	T
CL:0000135	fibrocyte	F
CL:0000136	fat cell	T
CL:0000137	osteocyte	T
CL:0000138	chondrocyte	T
CL:0000140	odontocyte	F
CL:0000141	cementocyte	F
CL:0000142	hyalocyte	F
CL:0000143	guidepost cell	F
CL:0000145	professional antigen presenting cell	F
CL:0000146	simple columnar epithelial cell	F
CL:0000147	pigment cell	F
CL:0000148	melanocyte	T
CL:0000149	visual pigment cell	T
CL:0000150	glandular epithelial cell	T
CL:0000151	secretory cell	T
CL:0000152	exocrine cell	F
CL:0000153	GAG secreting cell	F
CL:0000154	protein secreting cell	F
CL:0000155	peptic cell	T
CL:0000157	surfactant secreting cell	F
CL:0000158	Clara cell	T
CL:0000159	seromucus secreting cell	T
CL:0000160	goblet cell	T
CL:0000161	acid secreting cell	F
CL:0000162	parietal cell	T
CL:0000163	endocrine cell	F
CL:0000164	enteroendocrine cell	T
CL:0000165	neuroendocrine cell	T
CL:0000166	chromaffin cell	T
CL:0000167	peptide hormone secreting cell	F
CL:0000168	insulin secreting cell	T
CL:0000169	type B pancreatic cell	F
CL:0000170	glucagon secreting cell	F
CL:0000171	pancreatic A cell	F
CL:0000172	somatostatin secreting cell	T
CL:0000173	pancreatic D cell	F
CL:0000174	steroid hormone secreting cell	F
CL:0000175	luteal cell	T
CL:0000176	ecdysteroid secreting cell	F
CL:0000177	testosterone secreting cell	F
CL:0000178	Leydig cell	T
CL:0000179	progesterone secreting cell	F
CL:0000180	estradiol secreting cell	F
CL:0000181	metabolising cell	F
CL:0000182	hepatocyte	T
CL:0000183	contractile cell	F
CL:0000185	myoepithelial cell	T
CL:0000186	myofibroblast cell	F
CL:0000187	muscle cell	T
CL:0000188	cell of skeletal muscle	T
CL:0000189	slow muscle cell	T
CL:0000190	fast muscle cell	T
CL:0000192	smooth muscle cell	T
CL:0000193	cardiac muscle cell (sensu Arthopoda)	F
CL:0000196	flight muscle cell	F
CL:0000197	receptor cell	T
CL:0000198	pain receptor cell	F
CL:0000199	mechanoreceptor cell	F
CL:0000200	touch receptor cell	F
CL:0000202	auditory hair cell	T
CL:0000203	gravity sensitive cell	F
CL:0000204	acceleration receptive cell	F
CL:0000205	thermoreceptor cell	F
CL:0000206	chemoreceptor cell	T
CL:0000207	olfactory receptor cell	T
CL:0000208	pH receptor cell	F
CL:0000209	taste receptor cell	T
CL:0000210	photoreceptor cell	T
CL:0000211	electrically active cell	F
CL:0000212	absorptive cell	F
CL:0000213	lining cell	F
CL:0000214	synovial cell	T
CL:0000215	barrier cell	F
CL:0000216	Sertoli cell	T
CL:0000217	insulating cell	F
CL:0000218	myelinating Schwann cell	F
CL:0000219	motile cell	F
CL:0000221	ectodermal cell	T
CL:0000222	mesodermal cell	T
CL:0000223	endodermal cell	T
CL:0000225	anucleate cell	F
CL:0000226	single nucleate cell	F
CL:0000227	binucleate cell	F
CL:0000228	multinucleate cell	T
CL:0000232	erythrocyte	T
CL:0000233	platelet	T
CL:0000234	phagocyte	T
CL:0000235	macrophage	T
CL:0000236	B cell	T
CL:0000237	keratinizing barrier epithelial cell	F
CL:0000238	non keratinizing barrier epithelial cell	F
CL:0000239	brush border epithelial cell	F
CL:0000240	stratified squamous epithelial cell	F
CL:0000241	stratified cuboidal epithelial cell	F
CL:0000242	Merkel cell	T
CL:0000243	glial cell (sensu Vertebrata)	F
CL:0000244	transitional epithelial cell	F
CL:0000246	Mauthner neuron	F
CL:0000247	Rohon-Beard neuron	F
CL:0000249	hatching gland cell	F
CL:0000251	extramedullary cell	F
CL:0000253	eurydendroid cell	F
CL:0000255	eukaryotic cell	F
CL:0000256	uric acid accumulating cell	F
CL:0000257	Mycetozoan cell	F
CL:0000259	aggregate cell	F
CL:0000261	anterior cell	F
CL:0000263	vegetative cell (sensu Mycetozoa)	F
CL:0000265	anterior like cell	F
CL:0000267	prespore cell	F
CL:0000269	prestalk cell	F
CL:0000271	prestalk A cell	F
CL:0000273	prestalk AB cell	F
CL:0000275	prestalk B cell	F
CL:0000279	prestalk 0 cell	F
CL:0000281	pstAB/ALC	F
CL:0000283	pstO/ALC	F
CL:0000285	stalk cell	F
CL:0000286	hyphal cell	F
CL:0000287	eye photoreceptor cell	T
CL:0000289	chemotactic amoeboid cell (sensu Mycetozoa)	F
CL:0000291	spore (sensu Mycetozoa)	F
CL:0000293	structural cell	F
CL:0000295	somatotropin secreting cell	T
CL:0000300	gamete	F
CL:0000301	pole cell	F
CL:0000306	crystallin accumulating cell	F
CL:0000307	tracheal epithelial cell	F
CL:0000308	metal ion accumulating cell	F
CL:0000309	copper accumulating cell	F
CL:0000310	iron accumulating cell	F
CL:0000311	keratin accumulating cell	F
CL:0000312	keratinocyte	T
CL:0000313	serous secreting cell	T
CL:0000314	milk secreting cell	F
CL:0000315	tears secreting cell	F
CL:0000317	sebum secreting cell	F
CL:0000318	sweat secreting cell	F
CL:0000319	mucus secreting cell	T
CL:0000321	seminal fluid secreting cell	F
CL:0000322	pneumocyte	T
CL:0000323	lysozyme secreting cell	F
CL:0000324	metanephric mesenchyme stem cell	F
CL:0000325	stuff accumulating cell	F
CL:0000326	glycogen accumulating cell	F
CL:0000327	extracellular matrix secreting cell	T
CL:0000328	myelin accumulating cell	F
CL:0000329	oxygen accumulating cell	F
CL:0000333	migratory neural crest cell	T
CL:0000334	vegetative cell (sensu Fungi)	F
CL:0000335	mesenchyme condensation cell	T
CL:0000336	adrenal medulla chromaffin cell	F
CL:0000337	neuroblast (sensu Vertebrata)	F
CL:0000338	neuroblast (sensu Nematoda and Protostomia)	F
CL:0000339	glioblast (sensu Vertebrata)	F
CL:0000340	glioblast (sensu Nematoda and Protostomia)	F
CL:0000341	pigment cell (sensu Nematoda and Protostomia)	F
CL:0000342	pigment cell (sensu Vertebrata)	F
CL:0000343	visual pigment cell (sensu Vertebrata)	F
CL:0000345	dental papilla cell	F
CL:0000346	hair follicle dermal papilla cell	F
CL:0000347	scleral cell	T
CL:0000348	choroidal cell of the eye	F
CL:0000349	extraembryonic cell	F
CL:0000350	amnioserosal cell	F
CL:0000351	trophoblast cell	T
CL:0000352	epiblast cell	T
CL:0000353	blastoderm cell	T
CL:0000354	blastemal cell	T
CL:0000355	multi-potent skeletal muscle stem cell	F
CL:0000356	hair matrix stem cell	F
CL:0000357	stratified epithelial stem cell	F
CL:0000358	sphincter associated smooth muscle cell	F
CL:0000359	vascular associated smooth muscle cell	F
CL:0000360	morula cell	F
CL:0000361	gastrula cell	F
CL:0000362	epidermal cell	F
CL:0000365	zygote	T
CL:0000367	sheath cell (sensu Nematoda)	F
CL:0000371	protoplast	F
CL:0000372	tormogen cell	F
CL:0000373	histoblast	F
CL:0000374	trichogen cell	F
CL:0000376	humidity receptor cell	F
CL:0000377	tracheoblast	F
CL:0000378	support cell (sensu Nematoda and Protostomia)	F
CL:0000379	sensory processing neuron	F
CL:0000380	thecogen cell	F
CL:0000381	neurosecretory neuron	F
CL:0000382	scolopale cell	F
CL:0000383	nephrogenic mesenchyme stem cell	F
CL:0000384	ligament cell	F
CL:0000385	prohemocyte (sensu Nematoda and Protostomia)	F
CL:0000386	attachment cell	F
CL:0000387	hemocyte (sensu Nematoda and Protostomia)	T
CL:0000388	tendon cell	F
CL:0000389	socket cell (sensu Nematoda)	F
CL:0000390	blood cell (sensu Nematoda and Protostomia)	F
CL:0000391	podocyte (sensu Diptera)	F
CL:0000392	crystal cell	F
CL:0000393	electrically responsive cell	F
CL:0000394	plasmatocyte	F
CL:0000395	procrystal cell	F
CL:0000396	lamellocyte	F
CL:0000397	ganglion interneuron	F
CL:0000398	polygonal cell	F
CL:0000401	macrophage (sensu Diptera)	F
CL:0000402	CNS interneuron	F
CL:0000404	electrically signaling cell	F
CL:0000405	neuroepidermoblast	F
CL:0000406	CNS short range interneuron	F
CL:0000407	scolopidial ligament cell	F
CL:0000408	male gamete	F
CL:0000409	scolopidial sheath cell	F
CL:0000410	CNS long range interneuron	F
CL:0000411	flatworm hypodermal cell	F
CL:0000412	polyploid cell	F
CL:0000413	haploid cell	F
CL:0000415	diploid cell	F
CL:0000416	polytene cell	F
CL:0000417	endopolyploid cell	F
CL:0000418	arcade cell	F
CL:0000419	seam cell	F
CL:0000420	syncytial epithelial cell	F
CL:0000421	coelomocyte	F
CL:0000422	mitogenic signaling cell	F
CL:0000423	tip cell	F
CL:0000424	excretory cell	F
CL:0000425	pore cell	F
CL:0000426	scaffold cell	F
CL:0000427	GLR cell	F
CL:0000428	yolk cell	F
CL:0000429	imaginal disc cell	F
CL:0000430	xanthophore	F
CL:0000431	iridophore	F
CL:0000432	reticular cell	T
CL:0000434	eccrine cell	F
CL:0000435	alkali secreting cell	F
CL:0000436	vaginal lubricant secreting cell	F
CL:0000437	gonadtroph	F
CL:0000438	luteinizing hormone secreting cell	T
CL:0000439	prolactin secreting cell	T
CL:0000440	melanocyte stimulating hormone secreting cell	T
CL:0000441	follicle stem cell	F
CL:0000442	follicular dendritic cell	F
CL:0000443	calcitonin secreting cell	F
CL:0000444	obliquely striated muscle cell	F
CL:0000445	apoptosis fated cell	F
CL:0000446	chief cell of parathyroid gland	T
CL:0000447	carbohydrate secreting cell	F
CL:0000448	white fat cell	T
CL:0000449	brown fat cell	T
CL:0000451	dendritic cell	T
CL:0000452	thyroid hormone secreting cell	F
CL:0000453	Langerhans cell	T
CL:0000454	epinephrine secreting cell	F
CL:0000456	mineralocorticoid secreting cell	F
CL:0000457	biogenic amine secreting cell	T
CL:0000458	serotonin secreting cell	F
CL:0000459	noradrenergic cell	F
CL:0000460	glucocorticoid secreting cell	F
CL:0000462	adepithelial cell	F
CL:0000463	epidermal cell (sensu arthropoda)	F
CL:0000464	epidermoblast	F
CL:0000465	cardioblast (sensu Arthropoda)	F
CL:0000467	adrenocorticotropic hormone secreting cell	T
CL:0000468	neuroglioblast	F
CL:0000469	ganglion mother cell	F
CL:0000470	digestive enzyme secreting cell	F
CL:0000473	defensive cell	F
CL:0000474	pericardial nephrocyte	F
CL:0000476	thyrotroph	F
CL:0000477	follicle cell	F
CL:0000478	oxytocin stimulating hormone secreting cell	F
CL:0000479	vasopressin stimulating hormone secreting cell	F
CL:0000480	secretin stimulating hormone secreting cell	F
CL:0000481	cholecystokin stimulating hormone secreting cell	F
CL:0000482	juvenile hormone secreting cell	F
CL:0000483	bombesin stimulating hormone secreting cell	F
CL:0000484	connective tissue type mast cell	F
CL:0000485	mucosal type mast cell	F
CL:0000486	garland cell	F
CL:0000487	oenocyte	F
CL:0000488	visible light photoreceptor cell	F
CL:0000489	scotopic photoreceptor cell	F
CL:0000490	photopic photoreceptor cell	F
CL:0000492	CD4-positive helper T cell	F
CL:0000494	UV sensitive photoreceptor cell	F
CL:0000495	blue sensitive photoreceptor cell	F
CL:0000496	green sensitive photoreceptor cell	F
CL:0000497	red sensitive photoreceptor cell	F
CL:0000498	inhibitory interneuron	F
CL:0000499	stromal cell	F
CL:0000500	follicular epithelial cell	F
CL:0000501	granulosa cell	T
CL:0000502	type D enteroendocrine cell	T
CL:0000503	theca cell	T
CL:0000504	enterochromaffin-like cell	F
CL:0000505	substance P secreting cell	F
CL:0000506	enkephalin secreting cell	F
CL:0000507	endorphin secreting cell	F
CL:0000508	type G enteroendocrine cell	T
CL:0000509	gastrin secreting cell	F
CL:0000510	paneth cell	F
CL:0000511	androgen binding protein secreting cell	F
CL:0000512	paracrine cell	F
CL:0000513	cardiac muscle myoblast	F
CL:0000514	smooth muscle myoblast	F
CL:0000515	skeletal muscle myoblast	F
CL:0000516	perineuronal satellite cell	F
CL:0000517	macrophage derived foam cell	F
CL:0000518	phagocyte (sensu Vertebrata)	F
CL:0000519	phagocyte (sensu Nematoda and Protostomia)	F
CL:0000520	prokaryotic cell	F
CL:0000521	fungal cell	F
CL:0000523	mononuclear cytotrophoblast cell	F
CL:0000524	spheroplast	F
CL:0000525	syncytiotrophoblast cell	T
CL:0000526	afferent neuron	T
CL:0000527	efferent neuron	T
CL:0000528	nitrergic neuron	F
CL:0000529	pigmented epithelial cell	F
CL:0000530	primary neuron	T
CL:0000531	primary sensory neuron	F
CL:0000532	CAP motoneuron	F
CL:0000533	primary motor neuron	F
CL:0000534	primary interneuron	F
CL:0000535	secondary neuron	F
CL:0000536	secondary motor neuron	F
CL:0000540	neuron	T
CL:0000541	melanoblast	F
CL:0000542	lymphocyte	T
CL:0000544	slowly adapting mechanoreceptor cell	F
CL:0000545	T-helper 1 cell	F
CL:0000546	T-helper 2 cell	F
CL:0000547	proerythroblast	F
CL:0000548	animal cell	F
CL:0000549	basophilic erythroblast	F
CL:0000550	polychromatophilic erythroblast	F
CL:0000551	unimodal nocireceptor	F
CL:0000552	orthochromatic erythroblast	F
CL:0000553	megakaryocyte progenitor cell	F
CL:0000554	gastrin stimulating hormone secreting cell	F
CL:0000555	neuronal brush cell	T
CL:0000556	megakaryocyte	F
CL:0000557	granulocyte monocyte progenitor cell	F
CL:0000558	reticulocyte	F
CL:0000559	promonocyte	F
CL:0000560	band form neutrophil	F
CL:0000561	amacrine cell	T
CL:0000562	nucleate erythrocyte	F
CL:0000563	endospore	F
CL:0000564	neutrophilic promyelocyte	F
CL:0000565	fat body cell	F
CL:0000566	angioblastic mesenchymal cell	T
CL:0000567	polymodal nocireceptor	F
CL:0000568	APUD cell	F
CL:0000569	cardiac mesenchymal cell	F
CL:0000570	parafollicular cell	T
CL:0000571	leucophore	F
CL:0000573	retinal cone cell	T
CL:0000574	erythrophore	F
CL:0000575	corneal epithelial cell	F
CL:0000576	monocyte	F
CL:0000577	type EC enteroendocrine cell	F
CL:0000578	experimentally modified cell in vitro	F
CL:0000579	border follicle cell	F
CL:0000580	neutrophilic myelocyte	F
CL:0000581	peritoneal macrophage	F
CL:0000582	neutrophilic metamyelocyte	F
CL:0000583	alveolar macrophage	F
CL:0000584	enterocyte	F
CL:0000586	germ cell	T
CL:0000587	cold sensing thermoreceptor cell	F
CL:0000588	odontoclast	F
CL:0000589	cochlear inner hair cell	F
CL:0000590	small luteal cell	F
CL:0000591	warmth sensing thermoreceptor cell	F
CL:0000592	large luteal cell	F
CL:0000593	androgen secreting cell	F
CL:0000594	skeletal muscle satellite cell	F
CL:0000595	enucleate erythrocyte	F
CL:0000596	sexual spore	F
CL:0000597	microconidium	F
CL:0000598	pyramidal neuron	T
CL:0000599	conidium	F
CL:0000600	heterokaryon	F
CL:0000601	outer hair cell	F
CL:0000602	pressoreceptor cell	F
CL:0000603	dikaryon	F
CL:0000604	retinal rod cell	T
CL:0000605	fungal asexual spore	F
CL:0000606	macroconidium	F
CL:0000607	ascospore	F
CL:0000608	zygospore	F
CL:0000609	vestibular hair cell	F
CL:0000611	eosinophil progenitor cell	F
CL:0000612	eosinophilic myelocyte	F
CL:0000613	basophil progenitor cell	F
CL:0000614	basophilic myelocyte	F
CL:0000615	basidiospore	F
CL:0000617	GABAergic neuron	F
CL:0000618	sheath cell	F
CL:0000619	support cell (sensu Nematoda)	F
CL:0000621	fusion competent myoblast	F
CL:0000622	acinar cell	F
CL:0000623	natural killer cell	F
CL:0000624	CD4-positive, alpha-beta T cell	F
CL:0000625	CD8-positive, alpha-beta T cell	F
CL:0000626	olfactory granule cell	T
CL:0000627	transporting cell	F
CL:0000628	photosynthetic cell	F
CL:0000629	storage cell	F
CL:0000630	supportive cell	F
CL:0000631	labyrinth supporting cell	F
CL:0000632	hepatic stellate cell	F
CL:0000633	Hensen cell	F
CL:0000634	Claudius cell	F
CL:0000635	Deiter's cell	F
CL:0000636	Mueller cell	T
CL:0000637	chromophil cell of anterior pituitary gland	F
CL:0000638	acidophil cell of pars distalis of adenohypophysis	F
CL:0000639	basophil cell of pars distalis of adenohypophysis	F
CL:0000641	chromophobe cell	F
CL:0000642	folliculostellate cell	T
CL:0000644	Bergmann glial cell	F
CL:0000645	pituicyte	F
CL:0000646	basal cell	F
CL:0000647	multinucleated giant cell	F
CL:0000648	kidney granular cell	T
CL:0000649	prickle cell	T
CL:0000650	mesangial cell	T
CL:0000651	mucous neck cell	F
CL:0000652	pinealocyte	T
CL:0000653	glomerular visceral epithelial cell	T
CL:0000654	primary oocyte	F
CL:0000655	secondary oocyte	F
CL:0000656	primary spermatocyte	F
CL:0000657	secondary spermatocyte	F
CL:0000658	cuticle secreting cell	F
