uberon_id	uberon_name	positive_evidence	no_negative_evidence
UBERON:0005461	levator scapulae muscle	1	1
UBERON:3010741	M. ulnocarpalis	0	1
UBERON:0012080	patella cartilage element	0	1
UBERON:0025096	superior calcarine sulcus	0	1
UBERON:2000234	macula neglecta	0	1
UBERON:0003053	ventricular zone	1	1
UBERON:0003523	manus blood vessel	1	1
UBERON:0005416	zone of polarizing activity of pelvic appendage	0	1
UBERON:0006206	iridocorneal angle	1	1
UBERON:0034762	areolar sweat gland	1	1
UBERON:0010679	manual digit 5 phalanx cartilage element	1	1
UBERON:0006035	interdigital region between manual digits 4 and 5	1	1
UBERON:0010905	clavicle bone primordium	1	1
UBERON:0023417	lateral amygdaloid nucleus, ventromedial part	0	1
UBERON:0035596	circular nucleus of antherior hypothalamic nucleus	0	1
UBERON:0016857	digit 7	0	1
UBERON:0010031	6th arch mesenchyme	1	1
UBERON:0011314	anterior subdivision of masseter	0	1
UBERON:0002331	umbilical cord	1	1
UBERON:0010751	squamous part of temporal bone primordium	1	1
UBERON:0000104	life cycle	1	1
UBERON:0013541	Brodmann (1909) area 10	1	1
UBERON:0012111	diastema	1	1
UBERON:5106052	digit 5 digitopodial skeleton	1	1
UBERON:0014641	terminal nerve root	0	1
UBERON:0009841	upper rhombic lip	1	1
UBERON:0005346	cerebellum vermis lobule VIIb	1	1
UBERON:0006261	male genital tubercle	1	1
UBERON:0011954	stomach non-glandular region	0	1
UBERON:0000959	optic chiasma	1	1
UBERON:0002706	posterior nucleus of hypothalamus	1	1
UBERON:0001683	jugal bone	1	1
UBERON:0003093	occipital lateral line	0	0
UBERON:2005104	presumptive dorsal fin fold	0	1
UBERON:2000740	epaxial region somite 5	0	1
UBERON:0003493	trachea reticular lamina	0	1
UBERON:0005009	mucosa of trigone of urinary bladder	1	1
UBERON:0004605	rib 5	1	1
UBERON:0002955	rhomboidal nucleus	1	1
UBERON:0013638	horny papilla of tongue	0	1
UBERON:1500005	ischial cartilage	0	1
UBERON:0004205	inner medullary collecting duct	0	1
UBERON:2001713	caudal principal ray 1	0	0
UBERON:0008860	intermediate gastric gland	0	1
UBERON:0005378	olfactory bulb granule cell layer	0	1
UBERON:0010723	os vesalianum pedis	0	1
UBERON:2005411	common crus	0	1
UBERON:0014628	vestibular fissure of the cochlear canal	0	1
UBERON:0000373	tapetum of corpus callosum	1	1
UBERON:0004941	submucosa of right hepatic duct	1	1
UBERON:0015024	manual digit phalanx endochondral element	1	1
UBERON:0011612	hypohyal cartilage	0	1
UBERON:0001959	white pulp of spleen	1	1
UBERON:0003637	manual digit 3 phalanx	1	1
UBERON:0004085	labium majora	1	1
UBERON:3010227	costal protuberances	0	1
UBERON:0005496	neural tube lateral wall	1	1
UBERON:2002277	pectoral fin distal radial bone 1	0	0
UBERON:2002269	interarcual cartilage	0	1
UBERON:0002139	subcommissural organ	1	1
UBERON:0008971	left colon	0	1
UBERON:0004152	bulbus arteriosus	0	1
UBERON:5103631	pedal digit 1 digitopodial skeleton	1	1
UBERON:0001950	neocortex	1	1
UBERON:0018607	permanent molar tooth 2	1	1
UBERON:0015841	molar dental lamina	0	1
UBERON:0011577	flexural organ	0	1
UBERON:0002862	third sacral dorsal root ganglion	1	1
UBERON:0001923	central medial nucleus	1	1
UBERON:0005041	mucosa of respiratory bronchiole	1	1
UBERON:0001523	flexor digitorum profundus	1	1
UBERON:0000205	papula	0	0
UBERON:4200061	epicercal tail	0	0
UBERON:3000561	septum semicircularium laterale	0	1
UBERON:0006849	scapula	1	1
UBERON:0005234	optic eminence ectoderm	0	1
UBERON:0034969	epithelial layer of duct	1	1
UBERON:0003480	vein of clitoris	1	1
UBERON:0009140	right subcardinal vein	1	1
UBERON:2000651	dorsal pelvic arrector	0	1
UBERON:2000936	dorsal fin distal radial bone	0	0
UBERON:0002608	caudal part of ventral lateral nucleus	1	1
UBERON:0015010	sacral vertebra endochondral element	1	1
UBERON:0004069	accessory olfactory bulb	0	1
UBERON:0005933	hair root sheath	1	1
UBERON:0003834	thoracic segment blood vessel	1	1
UBERON:0005664	2nd arch endoderm	1	1
UBERON:0001542	inguinal lymph node	1	1
UBERON:0008779	subclavius	1	1
UBERON:2001995	papilla	0	1
UBERON:0005110	metanephric nephron	0	1
UBERON:0035529	left common iliac artery	1	1
UBERON:2000437	caudal fin actinotrichium	0	0
UBERON:0013583	metapodium bone 3	1	1
UBERON:0001460	arm	1	1
UBERON:0008863	stomach smooth muscle outer longitudinal layer	1	1
UBERON:0005464	median sacral artery	1	1
UBERON:0016890	intrahepatic branch of portal vein	1	1
UBERON:0004879	marginal zone of embryo	0	1
UBERON:0013398	choroidal gland	0	1
UBERON:0025903	principal sulcus	0	1
UBERON:0000177	pus	0	1
UBERON:0005876	undifferentiated genital tubercle	1	1
UBERON:3010651	levator bulbi	0	1
UBERON:0005102	late distal convoluted tubule	0	1
UBERON:3000834	posterior lamina recurvata	0	0
UBERON:0018406	mental nerve	1	1
UBERON:0004894	alveolar wall	1	1
UBERON:0009858	outer fibrous layer of periosteum	1	1
UBERON:0014541	thoracic division of spinal cord central canal	0	1
UBERON:0008944	albumen	0	1
UBERON:0009115	thoracic thymus	0	1
UBERON:0016633	parvocellular reticular nucleus	1	1
UBERON:4200134	antimere	0	1
UBERON:0004769	diaphysis	1	1
UBERON:0009771	left anterior cardinal vein	1	1
UBERON:0011774	utriculosaccular duct	1	1
UBERON:0005154	epithelial cord	1	1
UBERON:0008245	pennate muscle	1	1
UBERON:0002336	corpus callosum	1	1
UBERON:0009692	lumen of pharyngotympanic tube	1	1
UBERON:3010047	M. quadratus femoris	0	1
UBERON:0005655	right lung accessory lobe epithelium	1	1
UBERON:0002437	cerebral hemisphere white matter	1	1
UBERON:0004901	right lung lobar bronchus mesenchyme	0	1
UBERON:2101818	dorsal fin proximal radial element 1	0	0
UBERON:0009198	craniofacial suture	1	1
UBERON:0003887	intraembryonic coelom	1	1
UBERON:0009191	sphenoid bone pre-cartilage condensation	1	1
UBERON:2001983	centrum 1	0	1
UBERON:2001476	sublingual ventral ossification	0	1
UBERON:0000018	compound eye	0	0
UBERON:0005144	metanephric glomerular capillary	0	1
UBERON:0014876	distal epiphysis of distal phalanx of pedal digit	1	1
UBERON:0002733	intralaminar nuclear group	1	1
UBERON:0035038	carpal tunnel	1	1
UBERON:0005342	malleus head	1	1
UBERON:0013115	pterygoideus glandulae muscle	0	1
UBERON:0006775	zone of epiphyseal plate	0	1
UBERON:0013145	accessory saphenous vein	1	1
UBERON:0002968	central gray substance of pons	1	1
UBERON:0001600	tensor tympani	1	1
UBERON:0001635	superior cerebellar artery	1	1
UBERON:0003862	pedal digit 4 phalanx	1	1
UBERON:0003338	ganglion of peripheral nervous system	1	1
UBERON:0017312	cingulum of upper canine tooth	1	1
UBERON:4440010	pelvic fin radial skeleton	0	0
UBERON:0002946	regional part of cerebellum	1	1
UBERON:0014484	distal phalanx of digit 2	1	1
UBERON:0003194	imaginal disc-derived wing vein	0	0
UBERON:0008288	feather rachis	0	0
UBERON:0014388	kidney collecting duct epithelium	0	1
UBERON:5003623	manual digit 3 plus metapodial segment	1	1
UBERON:4200047	attachment site	1	1
UBERON:0001674	masseteric vein	1	1
UBERON:0001886	choroid plexus	1	1
UBERON:0005194	thoracic vein	1	1
UBERON:0005393	cortical layer IV	1	1
UBERON:0034670	palatal taste bud	0	1
UBERON:1000011	labial commissure	0	1
UBERON:0004385	epiphysis of radius	1	1
UBERON:0001827	secretion of lacrimal gland	1	1
UBERON:0001996	elastic cartilage tissue	1	1
UBERON:0001853	utricle of membranous labyrinth	1	1
UBERON:0011631	tabular bone	0	1
UBERON:0002206	mammillary body	1	1
UBERON:3000519	pseudodentary tooth	0	1
UBERON:0014473	precentral fissure of cerebellum	1	1
UBERON:2001698	anal-fin stay	0	0
UBERON:3000654	pars jugalis	0	0
UBERON:0003967	cutaneous elastic tissue	0	1
UBERON:3010584	mandibular arch neural crest	0	1
UBERON:0019310	glossopharyngeal nerve root	1	1
UBERON:0002976	preolivary nucleus	1	1
UBERON:0005268	renal cortex artery	0	1
UBERON:0012318	anterior ethmoidal artery	1	1
UBERON:0006913	lip epithelium	0	1
UBERON:0012356	pedal acropodium region	1	1
UBERON:0013171	cricothyroid ligament	1	1
UBERON:0014372	fibroelastic membrane of larynx	1	1
UBERON:2001530	epibranchial 2 cartilage	0	1
UBERON:0018394	vein baroreceptor	0	1
UBERON:0002470	autopod region	1	1
UBERON:0015108	distal tarsal bone 3 endochondral element	1	1
UBERON:0009132	peroneus	1	1
UBERON:0014899	anterolateral ligament of knee	0	1
UBERON:0013698	strand of pubic hair	1	1
UBERON:3000032	auditory muscles	0	1
UBERON:0006631	right atrium auricular region	1	1
UBERON:2000610	vertical myoseptum	0	1
UBERON:0004911	epithelium of female gonad	1	1
UBERON:0022367	inferior lateral occipital cortex	1	1
UBERON:0015481	left hepatic artery	1	1
UBERON:0018685	nursing stage	0	1
UBERON:0010974	external intercostal pre-muscle mass	1	1
UBERON:2000523	inferior reticular formation	0	1
UBERON:0001196	middle colic artery	1	1
UBERON:0011585	cell condensation	1	1
UBERON:0022258	endolemniscal nucleus	1	1
UBERON:0009744	lymph node medullary sinus	0	1
UBERON:0034765	glabella skin	0	1
UBERON:0001053	arthropod neurohemal organ	0	1
UBERON:2002005	canal plate	0	1
UBERON:0004910	epithelium of male gonad	1	1
UBERON:2001683	transcapular ligament	0	1
UBERON:0003064	intermediate mesoderm	1	1
UBERON:0004439	proximal epiphysis of middle phalanx of manual digit 5	1	1
UBERON:0007722	interphalangeal joint of manus	1	1
UBERON:0000067	embryo stage part	1	1
UBERON:0003657	limb joint	1	1
UBERON:0009671	nasal fin	1	1
UBERON:0003243	epithelium of cochlear duct	0	1
UBERON:3000141	endolymphatic system	0	1
UBERON:0003317	odontogenic papilla of incisor	1	1
UBERON:2005304	caudal fin blood vessel	0	1
UBERON:0015249	digit skin	1	1
UBERON:0004620	lumbar vertebra 4	1	1
UBERON:3000059	capsular process	0	1
UBERON:0012353	fin skeleton	0	0
UBERON:3010827	anterior prenasal cartilage	0	1
UBERON:2201417	pelvic fin distal radial cartilage 1	0	0
UBERON:0002972	centromedian nucleus of thalamus	1	1
UBERON:0008785	upper limb segment	1	1
UBERON:0004811	endometrium epithelium	1	1
UBERON:0003540	right lung terminal bronchiole	0	1
UBERON:0018252	internal pudendal vein	1	1
UBERON:0004051	lateral cerebellomedullary cistern	1	1
UBERON:0028398	hadjikhani et al. (1998) Visuotopic area V1d	0	1
UBERON:2001179	epidermal superficial stratum	0	1
UBERON:0002081	cardiac atrium	1	1
UBERON:2001154	anal fin musculature	0	0
UBERON:0003515	forelimb blood vessel	1	1
UBERON:0004739	pronephric glomerulus	0	1
UBERON:0002531	paired fin bud	0	0
UBERON:0003585	dermis connective tissue	0	1
UBERON:0002208	sternebra	1	1
UBERON:0002327	trunk of intercostal nerve	1	1
UBERON:0006311	chamber of eyeball	1	1
UBERON:0002768	vestibulospinal tract	1	1
UBERON:0002550	anterior hypothalamic region	1	1
UBERON:0003112	olfactory region	1	1
UBERON:2005093	nasal vein	0	1
UBERON:0023927	subbrachial nucleus of mouse of Franklin and Paxinos 2008	0	1
UBERON:0006688	sublingual caruncle	1	1
UBERON:2002294	fish scute	0	1
UBERON:2000725	somite 11	0	1
UBERON:0002697	dorsal supraoptic decussation	1	1
UBERON:0014527	posterior limb of internal capsule	1	1
UBERON:0005485	valve of inferior vena cava	1	1
UBERON:0009566	intestinal submucosa	1	1
UBERON:0008716	hilum of kidney	1	1
UBERON:0005454	abdominal internal oblique muscle	1	1
UBERON:2001013	myotome somite 10	0	1
UBERON:0001682	palatine bone	1	1
UBERON:5006050	digit 3 plus metapodial segment	1	1
UBERON:0006272	oronasal cavity	1	1
UBERON:0004535	cardiovascular system	1	1
UBERON:2000223	infraorbital 1	0	1
UBERON:0006974	metanephridium	0	1
UBERON:0022242	inferior thalamic peduncle	1	1
UBERON:4300104	ectocoracoid bone	0	1
UBERON:0005120	metanephric late distal convoluted tubule	0	1
UBERON:0001802	posterior segment of eyeball	1	1
UBERON:0035545	deep lymphatic vessel	1	1
UBERON:0003964	prevertebral ganglion	1	1
UBERON:3000255	lamina anterior of pars facialis	0	1
UBERON:0008821	middle mediastinum	1	1
UBERON:0026586	vestibular canal	0	1
UBERON:0003952	anterior stroma of cornea	0	1
UBERON:0014765	crus of diaphragm	1	1
UBERON:0004120	mesoderm-derived structure	1	1
UBERON:0002280	otolith	1	1
UBERON:0003110	otic region	1	1
UBERON:0001387	fibularis longus	1	1
UBERON:0013628	pollical pad	0	1
UBERON:0007602	stratified columnar epithelium	1	1
UBERON:0002368	endocrine gland	1	1
UBERON:0019303	occipital sulcus	1	1
UBERON:0011289	pharyngobasilar fascia	1	1
UBERON:0012194	superior intercostal vein	1	1
UBERON:0001553	medial tarsal artery	1	1
UBERON:0016440	glabella region of bone	1	1
UBERON:0022327	entorhinal cortex layer 3	0	1
UBERON:3000179	foramen acusticum	0	1
UBERON:0003957	Bruch's membrane	1	1
UBERON:0010576	manual digit 2 phalanx pre-cartilage condensation	1	1
UBERON:0001028	diaphysis of radius	1	1
UBERON:2002192	dorsolateral motor nucleus of vagal nerve	0	1
UBERON:0007166	left dome of diaphragm	1	1
UBERON:0017259	placental caruncle	0	1
UBERON:0002147	reticulotegmental nucleus	1	1
UBERON:0011893	endoneurial fluid	0	1
UBERON:2005150	basal regeneration epithelium of regenerating fin/limb	0	1
UBERON:0011611	ceratohyal bone	0	1
UBERON:0000949	endocrine system	1	1
UBERON:4200116	pteroid	0	1
UBERON:0014704	pleuroperitoneal canal lumen	1	1
UBERON:3000524	pterygoquadrate	0	1
UBERON:2001686	bony shelf above orbit	0	1
UBERON:0001219	ileocolic vein	1	1
UBERON:0000152	pelvic fin	0	0
UBERON:0007119	neck of femur	1	1
UBERON:0008806	buccal funnel	0	0
UBERON:1000018	cluster of hairs	0	1
UBERON:0003650	metatarsal bone of digit 1	1	1
UBERON:0008866	enamel knot	0	1
UBERON:0006719	lateral pterygoid muscle	1	1
UBERON:2105375	dorsal fin distal radial element 4	0	0
UBERON:0006056	posterior surface of head	1	1
UBERON:0005652	pedal digit 5 epithelium	1	1
UBERON:0005691	4th arch mesenchyme	1	1
UBERON:0006328	laryngeal intrinsic muscle	1	1
UBERON:0012113	bolus of food	1	1
UBERON:4000090	integumentary skeleton	0	1
UBERON:0010496	teres minor muscle	1	1
UBERON:0022336	entorhinal cortex layer 1	0	1
UBERON:0023920	basal ganglia of rodent	0	1
UBERON:3000384	parasagittal crest	0	1
UBERON:2101415	pelvic fin distal radial element 2	0	0
UBERON:0001151	tail of pancreas	1	1
UBERON:0004606	rib 6	1	1
UBERON:0005341	ventral commissure	1	1
UBERON:0004043	semicircular canal ampulla	1	1
UBERON:0006870	endostyle	0	0
UBERON:2001828	primordial ligament	0	1
UBERON:0010300	epithelial scleral papilla layer	0	1
UBERON:0004476	musculature of shoulder	1	1
UBERON:3010503	oviduct artery	0	1
UBERON:0002071	stratum lucidum of epidermis	1	1
UBERON:0015049	carpus endochondral element	1	1
UBERON:2001230	pharyngeal arch 6 skeleton	0	1
UBERON:3000951	anterior radial	0	1
UBERON:3000956	hypobranchial II	0	1
UBERON:0018230	femoral canal	1	1
UBERON:0002245	cerebellar hemisphere	1	1
UBERON:0005136	metanephric glomerular endothelium	0	1
UBERON:0009971	principal gastric gland	1	1
UBERON:0003476	respiratory system venous blood vessel	0	1
UBERON:0034901	cervical sympathetic nerve trunk	1	1
UBERON:0001197	ileocolic artery	1	1
UBERON:0008992	chorion frondosum	0	1
